Name,Description,Designator,Footprint,LibRef,Quantity

"1","","+5, GND","ANT","1","2"
"USBLC6-2SC6","TVS Diode Array Uni-Directional USBLC6-2SC6 17V, SOT-23 6-Pin","B1","SOT95P280X145-6N","USBLC6-2SC6","1"
"1uf","WALSIN - 0603X105K250CT - SMD Multilayer Ceramic Capacitor, 1 F, 25 V, 0603 [1608 Metric], +/- 10%, X5R","C1","CAPC1608X95N","0603X105K250CT","1"
"100nf","Capacitor","C2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C24, C25, C26, C27, C28, C29, C30, C33, C34, C36, C37, C39, C40, C42, C43, C45, C48, C49, C50, C51, C52, C54, C56, C57, C58, C60, C62","CAPC1608X95N","VJ0603Y104KXACW1BC","42"
"4.7uf","Cap Ceramic 2.2uF 10V X7R ±10% Pad SMD 0603 +125°C T/R","C3, C32, C35","FP-CL10-IPC_A","CMP-13271-003582-1","3"
"10Uf","Capacitor","C4","CAPC1608X95N","VJ0603Y104KXACW1BC","1"
"1UF","Cap Ceramic 2.2uF 10V X7R ±10% Pad SMD 0603 +125°C T/R","C5","FP-CL10-IPC_A","CMP-13271-003582-1","1"
"2.2uf","Cap Ceramic 2.2uF 10V X7R ±10% Pad SMD 0603 +125°C T/R","C6, C7","FP-CL10-IPC_A","CMP-13271-003582-1","2"
"18pf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 18pF 5% C0G","C22, C23","CAPC1608X87N","C0603C180J5GAC","2"
"220nF","WALSIN - 0603B223K500CT - CAPACITOR, MLCC, X7R, 0.022UF, 50V, 0603","C31","CAPC1608X87N","0603B223K500CT","1"
"4.7uf","WALSIN - 0603X105K250CT - SMD Multilayer Ceramic Capacitor, 1 F, 25 V, 0603 [1608 Metric], +/- 10%, X5R, Capacitor","C38, C55","CAPC1608X95N","0603X105K250CT, VJ0603Y104KXACW1BC","2"
"0.47uf","Phycomp 0603 Standard 470nF Ceramic Multilayer Capacitor, 10 V dc, +125C, X7R Dielectric, +/-10% SMD","C41","CAPC1608X90N","CC0603KRX7R6BB474","1"
