Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Hub_Unit - Copy\Project Outputs for Hub_Unit - Copy\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       17/07/26
Time:       19:18
Revision:   5f568d9ca834efd53c52430f7f797842f6a72318
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"+5","1","BottomLayer","ANT","5.8420mm","39.2430mm","270",""
"GND","1","BottomLayer","ANT","5.9690mm","45.0850mm","270",""
"R5","47","BottomLayer","RESC1608X55N","94.9960mm","21.0820mm","90","Resistor"
"C47","22uf","BottomLayer","CAPC1608X95N","35.3060mm","65.4050mm","180","Capacitor"
"C46","22uf","BottomLayer","CAPC1608X95N","35.4330mm","67.3100mm","180","Capacitor"
"L3","DR74-4R7-R","BottomLayer","COBU-DR74-4R7-R_V","28.8290mm","64.6430mm","270","High Power Density, High Efficiency, Shielded Inductor, 4.7 uH, -40 to 125 degC, RoHS, Tape and Reel"
"R19","4k7","BottomLayer","RESC1608X55N","60.3250mm","56.3880mm","180","Resistor"
"P3","691701510004B","BottomLayer","691701510004B","61.2140mm","64.6430mm","180","Terminal Block, 5.08MM, Close Vertical Pcb Header, Thr Type, 4 Pins"
"R26","10k","BottomLayer","RESC1608X55N","48.8950mm","39.8780mm","180","Resistor"
"C55","4.7uf","BottomLayer","CAPC1608X95N","30.2810mm","42.9260mm","180","Capacitor"
"U1","MCP2221A-I/SL","BottomLayer","FP-C04-065-SL-MFG","24.7650mm","21.0820mm","180","IC USB TO I2C/UART 14SOIC"
"R25","1M","BottomLayer","RESC1608X55N","109.2200mm","25.4000mm","0","Resistor"
"R24","10K","BottomLayer","RESC1608X55N","31.2420mm","19.5580mm","180","Resistor"
"R23","5.1 kO, 1%","BottomLayer","RESC1608X55N","10.0330mm","26.7970mm","180","Resistor"
"R22","5.1 kO, 1%","BottomLayer","RESC1608X55N","2.6670mm","22.2250mm","90","Resistor"
"R18","4k7","TopLayer","RESC1608X55N","79.5020mm","39.7510mm","270","Resistor"
"R17","4k7","TopLayer","RESC1608X55N","81.6610mm","39.7510mm","270","Resistor"
"LED2","KPTL-3216SURCK-01-VS","BottomLayer","KPTL3216SURCK01VS","66.0400mm","56.7690mm","0","LED"
"C62","100nf","BottomLayer","CAPC1608X95N","31.4960mm","23.4950mm","180","Capacitor"
"C61","330nf","BottomLayer","CAPC1608X95N","19.4310mm","20.7010mm","270","Capacitor"
"C60","100nf","BottomLayer","CAPC1608X95N","31.3690mm","21.4630mm","180","Capacitor"
"B1","USBLC6-2SC6","BottomLayer","SOT95P280X145-6N","10.5410mm","23.7490mm","0","TVS Diode Array Uni-Directional USBLC6-2SC6 17V, SOT-23 6-Pin"
